material_area	function	placement
FFC_24	shape	slice
FFC_24	parameter	2mm
FFC_25	accuracy	fine
FFC_25	instanceOf	part
FFC_25	type	connector
FFC_25	attribute	soft
FFC_25	attribute	flexible
FFC_25	attribute	thin
FFC_25	shape	slice
FFC_25	parameter	2mm
FFC_26	accuracy	fine
FFC_26	instanceOf	part
FFC_26	type	connector
FFC_26	attribute	soft
FFC_26	attribute	flexible
FFC_26	attribute	thin
FFC_26	shape	slice
FFC_26	parameter	2mm
FFC_27	accuracy	fine
FFC_27	instanceOf	part
FFC_27	type	connector
FFC_27	attribute	soft
FFC_27	attribute	flexible
FFC_27	attribute	thin
FFC_27	shape	slice
FFC_27	parameter	2mm
FFC_28	accuracy	fine
FFC_28	instanceOf	part
FFC_28	type	connector
FFC_28	attribute	soft
FFC_28	attribute	flexible
FFC_28	attribute	thin
FFC_28	shape	slice
FFC_28	parameter	2mm
FFC_29	accuracy	fine
FFC_29	instanceOf	part
FFC_29	type	connector
FFC_29	attribute	soft
FFC_29	attribute	flexible
FFC_29	attribute	thin
FFC_29	shape	slice
FFC_29	parameter	2mm
FFC_30	accuracy	fine
FFC_30	instanceOf	part
FFC_30	type	connector
FFC_30	attribute	soft
FFC_30	attribute	flexible
FFC_30	attribute	thin
FFC_30	shape	slice
FFC_30	parameter	2mm
FFC_31	accuracy	fine
FFC_31	instanceOf	part
FFC_31	type	connector
FFC_31	attribute	soft
FFC_31	attribute	flexible
FFC_31	attribute	thin
FFC_31	shape	slice
FFC_31	parameter	2mm
FFC_32	accuracy	fine
FFC_32	instanceOf	part
FFC_32	type	connector
FFC_32	attribute	soft
FFC_32	attribute	flexible
FFC_32	attribute	thin
FFC_32	shape	slice
FFC_32	parameter	2mm
FFC_33	accuracy	fine
FFC_33	instanceOf	part
FFC_33	type	connector
FFC_33	attribute	soft
FFC_33	attribute	flexible
FFC_33	attribute	thin
FFC_33	shape	slice
FFC_33	parameter	2mm
FFC_34	accuracy	fine
FFC_34	instanceOf	part
FFC_34	type	connector
FFC_34	attribute	soft
FFC_34	attribute	flexible
FFC_34	attribute	thin
FFC_34	shape	slice
FFC_34	parameter	2mm
FFC_35	accuracy	fine
FFC_35	instanceOf	part
FFC_35	type	connector
FFC_35	attribute	soft
FFC_35	attribute	flexible
FFC_35	attribute	thin
FFC_35	shape	slice
FFC_35	parameter	2mm
FFC_36	accuracy	fine
FFC_36	instanceOf	part
FFC_36	type	connector
FFC_36	attribute	soft
FFC_36	attribute	flexible
FFC_36	attribute	thin
FFC_36	shape	slice
FFC_36	parameter	2mm
FFC_37	accuracy	fine
FFC_37	instanceOf	part
FFC_37	type	connector
FFC_37	attribute	soft
FFC_37	attribute	flexible
FFC_37	attribute	thin
FFC_37	shape	slice
FFC_37	parameter	2mm
FFC_38	accuracy	fine
FFC_38	instanceOf	part
FFC_38	type	connector
FFC_38	attribute	soft
FFC_38	attribute	flexible
FFC_38	attribute	thin
FFC_38	shape	slice
FFC_38	parameter	2mm
FFC_39	accuracy	fine
FFC_39	instanceOf	part
FFC_39	type	connector
FFC_39	attribute	soft
FFC_39	attribute	flexible
FFC_39	attribute	thin
FFC_39	shape	slice
FFC_39	parameter	2mm
usb_0	function	plug
usb_0	accuracy	rough
usb_0	instanceOf	part
usb_0	type	connector
usb_0	attribute	rigid
usb_0	attribute	cable
usb_0	shape	rectangle
usb_0	shape	lump
usb_0	parameter	typeA
usb_1	function	plug
usb_1	accuracy	rough
usb_1	instanceOf	part
usb_1	type	connector
usb_1	attribute	rigid
usb_1	attribute	cable
usb_1	shape	rectangle
usb_1	shape	lump
usb_1	parameter	typeA
usb_2	function	plug
usb_2	accuracy	rough
usb_2	instanceOf	part
usb_2	type	connector
usb_2	attribute	rigid
usb_2	attribute	cable
usb_2	shape	rectangle
usb_2	shape	lump
usb_2	parameter	typeA
usb_3	function	plug
usb_3	accuracy	rough
usb_3	instanceOf	part
usb_3	type	connector
usb_3	attribute	rigid
usb_3	attribute	cable
usb_3	shape	rectangle
usb_3	shape	lump
usb_3	parameter	typeA
usb_4	function	plug
usb_4	accuracy	rough
usb_4	instanceOf	part
usb_4	type	connector
usb_4	attribute	rigid
usb_4	attribute	cable
usb_4	shape	rectangle
usb_4	shape	lump
usb_4	parameter	typeA
usb_5	function	plug
usb_5	accuracy	rough
usb_5	instanceOf	part
usb_5	type	connector
usb_5	attribute	rigid
usb_5	attribute	cable
usb_5	shape	rectangle
usb_5	shape	lump
usb_5	parameter	typeA
usb_6	function	plug
usb_6	accuracy	rough
usb_6	instanceOf	part
usb_6	type	connector
usb_6	attribute	rigid
usb_6	attribute	cable
usb_6	shape	rectangle
usb_6	shape	lump
usb_6	parameter	typeA
usb_7	function	plug
usb_7	accuracy	rough
usb_7	instanceOf	part
usb_7	type	connector
usb_7	attribute	rigid
usb_7	attribute	cable
usb_7	shape	rectangle
usb_7	shape	lump
usb_7	parameter	typeA
usb_8	function	plug
usb_8	accuracy	rough
usb_8	instanceOf	part
usb_8	type	connector
usb_8	attribute	rigid
usb_8	attribute	cable
usb_8	shape	rectangle
usb_8	shape	lump
usb_8	parameter	typeA
usb_9	function	plug
usb_9	accuracy	rough
usb_9	instanceOf	part
usb_9	type	connector
usb_9	attribute	rigid
usb_9	attribute	cable
usb_9	shape	rectangle
usb_9	shape	lump
usb_9	parameter	typeA
usb_10	function	plug
usb_10	accuracy	rough
usb_10	instanceOf	part
usb_10	type	connector
usb_10	attribute	rigid
usb_10	attribute	cable
usb_10	shape	trapezoid
usb_10	shape	lump
usb_10	parameter	typeB
usb_11	function	plug
usb_11	accuracy	rough
usb_11	instanceOf	part
usb_11	type	connector
usb_11	attribute	rigid
usb_11	attribute	cable
usb_11	shape	trapezoid
usb_11	shape	lump
usb_11	parameter	typeB
usb_12	function	plug
usb_12	accuracy	rough
usb_12	instanceOf	part
usb_12	type	connector
usb_12	attribute	rigid
usb_12	attribute	cable
usb_12	shape	trapezoid
usb_12	shape	lump
usb_12	parameter	typeB
usb_13	function	plug
usb_13	accuracy	rough
usb_13	instanceOf	part
usb_13	type	connector
usb_13	attribute	rigid
usb_13	attribute	cable
usb_13	shape	trapezoid
usb_13	shape	lump
usb_13	parameter	typeB
usb_14	function	plug
usb_14	accuracy	rough
usb_14	instanceOf	part
usb_14	type	connector
usb_14	attribute	rigid
usb_14	attribute	cable
usb_14	shape	trapezoid
usb_14	shape	lump
usb_14	parameter	typeB
usb_15	function	plug
usb_15	accuracy	rough
usb_15	instanceOf	part
usb_15	type	connector
usb_15	attribute	rigid
usb_15	attribute	cable
usb_15	shape	trapezoid
usb_15	shape	lump
usb_15	parameter	typeB
usb_16	function	plug
usb_16	accuracy	rough
usb_16	instanceOf	part
usb_16	type	connector
usb_16	attribute	rigid
usb_16	attribute	cable
usb_16	shape	trapezoid
usb_16	shape	lump
usb_16	parameter	typeB
usb_17	function	plug
usb_17	accuracy	rough
usb_17	instanceOf	part
usb_17	type	connector
usb_17	attribute	rigid
usb_17	attribute	cable
usb_17	shape	trapezoid
usb_17	shape	lump
usb_17	parameter	typeB
usb_18	function	plug
usb_18	accuracy	rough
usb_18	instanceOf	part
usb_18	type	connector
usb_18	attribute	rigid
usb_18	attribute	cable
usb_18	shape	trapezoid
usb_18	shape	lump
usb_18	parameter	typeB
usb_19	function	plug
usb_19	accuracy	rough
usb_19	instanceOf	part
usb_19	type	connector
usb_19	attribute	rigid
usb_19	attribute	cable
usb_19	shape	trapezoid
usb_19	shape	lump
usb_19	parameter	typeB
usb_20	function	plug
usb_20	accuracy	rough
usb_20	instanceOf	part
usb_20	type	connector
usb_20	attribute	rigid
usb_20	attribute	cable
usb_20	shape	oval
usb_20	shape	lump
usb_20	parameter	typeC
usb_21	function	plug
usb_21	accuracy	rough
usb_21	instanceOf	part
usb_21	type	connector
usb_21	attribute	rigid
usb_21	attribute	cable
usb_21	shape	oval
usb_21	shape	lump
usb_21	parameter	typeC
usb_22	function	plug
usb_22	accuracy	rough
usb_22	instanceOf	part
usb_22	type	connector
usb_22	attribute	rigid
usb_22	attribute	cable
usb_22	shape	oval
usb_22	shape	lump
usb_22	parameter	typeC
usb_23	function	plug
usb_23	accuracy	rough
usb_23	instanceOf	part
usb_23	type	connector
usb_23	attribute	rigid
usb_23	attribute	cable
usb_23	shape	oval
usb_23	shape	lump
usb_23	parameter	typeC
usb_24	function	plug
usb_24	accuracy	rough
usb_24	instanceOf	part
usb_24	type	connector
usb_24	attribute	rigid
usb_24	attribute	cable
usb_24	shape	oval
usb_24	shape	lump
usb_24	parameter	typeC
usb_25	function	plug
usb_25	accuracy	rough
usb_25	instanceOf	part
usb_25	type	connector
usb_25	attribute	rigid
usb_25	attribute	cable
usb_25	shape	oval
usb_25	shape	lump
usb_25	parameter	typeC
usb_26	function	plug
usb_26	accuracy	rough
usb_26	instanceOf	part
usb_26	type	connector
usb_26	attribute	rigid
usb_26	attribute	cable
usb_26	shape	oval
usb_26	shape	lump
usb_26	parameter	typeC
usb_27	function	plug
usb_27	accuracy	rough
usb_27	instanceOf	part
usb_27	type	connector
usb_27	attribute	rigid
usb_27	attribute	cable
usb_27	shape	oval
usb_27	shape	lump
usb_27	parameter	typeC
usb_28	function	plug
usb_28	accuracy	rough
usb_28	instanceOf	part
usb_28	type	connector
usb_28	attribute	rigid
usb_28	attribute	cable
usb_28	shape	oval
usb_28	shape	lump
usb_28	parameter	typeC
usb_29	function	plug
usb_29	accuracy	rough
usb_29	instanceOf	part
usb_29	type	connector
usb_29	attribute	rigid
usb_29	attribute	cable
usb_29	shape	oval
usb_29	shape	lump
usb_29	parameter	typeC
usb_30	function	plug
usb_30	accuracy	rough
usb_30	instanceOf	part
usb_30	type	connector
usb_30	attribute	rigid
usb_30	attribute	cable
usb_30	shape	pentagon
usb_30	shape	lump
usb_30	parameter	micro_usb
usb_31	function	plug
usb_31	accuracy	rough
usb_31	instanceOf	part
usb_31	type	connector
usb_31	attribute	rigid
usb_31	attribute	cable
usb_31	shape	pentagon
usb_31	shape	lump
usb_31	parameter	micro_usb
usb_32	function	plug
usb_32	accuracy	rough
usb_32	instanceOf	part
usb_32	type	connector
usb_32	attribute	rigid
usb_32	attribute	cable
usb_32	shape	pentagon
usb_32	shape	lump
usb_32	parameter	micro_usb
usb_33	function	plug
usb_33	accuracy	rough
usb_33	instanceOf	part
usb_33	type	connector
usb_33	attribute	rigid
usb_33	attribute	cable
usb_33	shape	pentagon
usb_33	shape	lump
usb_33	parameter	micro_usb
usb_34	function	plug
usb_34	accuracy	rough
usb_34	instanceOf	part
usb_34	type	connector
usb_34	attribute	rigid
usb_34	attribute	cable
usb_34	shape	pentagon
usb_34	shape	lump
usb_34	parameter	micro_usb
usb_35	function	plug
usb_35	accuracy	rough
usb_35	instanceOf	part
usb_35	type	connector
usb_35	attribute	rigid
usb_35	attribute	cable
usb_35	shape	pentagon
usb_35	shape	lump
usb_35	parameter	micro_usb
usb_36	function	plug
usb_36	accuracy	rough
usb_36	instanceOf	part
usb_36	type	connector
usb_36	attribute	rigid
usb_36	attribute	cable
usb_36	shape	pentagon
usb_36	shape	lump
usb_36	parameter	micro_usb
usb_37	function	plug
usb_37	accuracy	rough
usb_37	instanceOf	part
usb_37	type	connector
usb_37	attribute	rigid
usb_37	attribute	cable
usb_37	shape	pentagon
usb_37	shape	lump
usb_37	parameter	micro_usb
usb_38	function	plug
usb_38	accuracy	rough
usb_38	instanceOf	part
usb_38	type	connector
usb_38	attribute	rigid
usb_38	attribute	cable
usb_38	shape	pentagon
usb_38	shape	lump
usb_38	parameter	micro_usb
usb_39	function	plug
usb_39	accuracy	rough
usb_39	instanceOf	part
usb_39	type	connector
usb_39	attribute	rigid
usb_39	attribute	cable
usb_39	shape	pentagon
usb_39	shape	lump
usb_39	parameter	micro_usb
usb_40	function	plug
usb_40	accuracy	rough
usb_40	instanceOf	part
usb_40	type	connector
usb_40	attribute	rigid
usb_40	attribute	cable
usb_40	shape	pentagon
usb_40	shape	lump
usb_40	parameter	mini_usb
usb_41	function	plug
usb_41	accuracy	rough
usb_41	instanceOf	part
usb_41	type	connector
usb_41	attribute	rigid
usb_41	attribute	cable
usb_41	shape	pentagon
usb_41	shape	lump
usb_41	parameter	mini_usb
usb_42	function	plug
usb_42	accuracy	rough
usb_42	instanceOf	part
usb_42	type	connector
usb_42	attribute	rigid
usb_42	attribute	cable
usb_42	shape	pentagon
usb_42	shape	lump
usb_42	parameter	mini_usb
usb_43	function	plug
usb_43	accuracy	rough
usb_43	instanceOf	part
usb_43	type	connector
usb_43	attribute	rigid
usb_43	attribute	cable
usb_43	shape	pentagon
usb_43	shape	lump
usb_43	parameter	mini_usb
usb_44	function	plug
usb_44	accuracy	rough
usb_44	instanceOf	part
usb_44	type	connector
usb_44	attribute	rigid
usb_44	attribute	cable
usb_44	shape	pentagon
usb_44	shape	lump
usb_44	parameter	mini_usb
usb_45	function	plug
usb_45	accuracy	rough
usb_45	instanceOf	part
usb_45	type	connector
usb_45	attribute	rigid
usb_45	attribute	cable
usb_45	shape	pentagon
usb_45	shape	lump
usb_45	parameter	mini_usb
usb_46	function	plug
usb_46	accuracy	rough
usb_46	instanceOf	part
usb_46	type	connector
usb_46	attribute	rigid
usb_46	attribute	cable
usb_46	shape	pentagon
usb_46	shape	lump
usb_46	parameter	mini_usb
usb_47	function	plug
usb_47	accuracy	rough
usb_47	instanceOf	part
usb_47	type	connector
usb_47	attribute	rigid
usb_47	attribute	cable
usb_47	shape	pentagon
usb_47	shape	lump
usb_47	parameter	mini_usb
usb_48	function	plug
usb_48	accuracy	rough
usb_48	instanceOf	part
usb_48	type	connector
usb_48	attribute	rigid
usb_48	attribute	cable
usb_48	shape	pentagon
usb_48	shape	lump
usb_48	parameter	mini_usb
usb_49	function	plug
usb_49	accuracy	rough
usb_49	instanceOf	part
usb_49	type	connector
usb_49	attribute	rigid
usb_49	attribute	cable
usb_49	shape	pentagon
usb_49	shape	lump
usb_49	parameter	mini_usb
ethernet_connector_0	function	plug
ethernet_connector_0	accuracy	rough
ethernet_connector_0	instanceOf	part
ethernet_connector_0	type	connector
ethernet_connector_0	attribute	rigid
ethernet_connector_0	attribute	cable
ethernet_connector_0	shape	square
ethernet_connector_0	shape	lump
ethernet_connector_0	parameter	Rj45
ethernet_connector_1	function	plug
ethernet_connector_1	accuracy	rough
ethernet_connector_1	instanceOf	part
ethernet_connector_1	type	connector
ethernet_connector_1	attribute	rigid
ethernet_connector_1	attribute	cable
ethernet_connector_1	shape	square
ethernet_connector_1	shape	lump
ethernet_connector_1	parameter	Rj45
ethernet_connector_2	function	plug
ethernet_connector_2	accuracy	rough
ethernet_connector_2	instanceOf	part
ethernet_connector_2	type	connector
ethernet_connector_2	attribute	rigid
ethernet_connector_2	attribute	cable
ethernet_connector_2	shape	square
ethernet_connector_2	shape	lump
ethernet_connector_2	parameter	Rj45
ethernet_connector_3	function	plug
ethernet_connector_3	accuracy	rough
ethernet_connector_3	instanceOf	part
ethernet_connector_3	type	connector
ethernet_connector_3	attribute	rigid
ethernet_connector_3	attribute	cable
ethernet_connector_3	shape	square
ethernet_connector_3	shape	lump
ethernet_connector_3	parameter	Rj45
ethernet_connector_4	function	plug
ethernet_connector_4	accuracy	rough
ethernet_connector_4	instanceOf	part
ethernet_connector_4	type	connector
ethernet_connector_4	attribute	rigid
ethernet_connector_4	attribute	cable
ethernet_connector_4	shape	square
ethernet_connector_4	shape	lump
ethernet_connector_4	parameter	Rj45
ethernet_connector_5	function	plug
ethernet_connector_5	accuracy	rough
ethernet_connector_5	instanceOf	part
ethernet_connector_5	type	connector
ethernet_connector_5	attribute	rigid
ethernet_connector_5	attribute	cable
ethernet_connector_5	shape	square
ethernet_connector_5	shape	lump
ethernet_connector_5	parameter	Rj45
ethernet_connector_6	function	plug
ethernet_connector_6	accuracy	rough
ethernet_connector_6	instanceOf	part
ethernet_connector_6	type	connector
ethernet_connector_6	attribute	rigid
ethernet_connector_6	attribute	cable
ethernet_connector_6	shape	square
ethernet_connector_6	shape	lump
ethernet_connector_6	parameter	Rj45
ethernet_connector_7	function	plug
ethernet_connector_7	accuracy	rough
ethernet_connector_7	instanceOf	part
ethernet_connector_7	type	connector
ethernet_connector_7	attribute	rigid
ethernet_connector_7	attribute	cable
ethernet_connector_7	shape	square
ethernet_connector_7	shape	lump
ethernet_connector_7	parameter	Rj45
ethernet_connector_8	function	plug
ethernet_connector_8	accuracy	rough
ethernet_connector_8	instanceOf	part
ethernet_connector_8	type	connector
ethernet_connector_8	attribute	rigid
ethernet_connector_8	attribute	cable
ethernet_connector_8	shape	square
ethernet_connector_8	shape	lump
ethernet_connector_8	parameter	Rj45
ethernet_connector_9	function	plug
ethernet_connector_9	accuracy	rough
ethernet_connector_9	instanceOf	part
ethernet_connector_9	type	connector
ethernet_connector_9	attribute	rigid
ethernet_connector_9	attribute	cable
ethernet_connector_9	shape	square
ethernet_connector_9	shape	lump
ethernet_connector_9	parameter	Rj45
coaxial_line_0	accuracy	fine
coaxial_line_0	instanceOf	part
coaxial_line_0	type	connector
coaxial_line_0	attribute	soft
coaxial_line_0	attribute	slender
coaxial_line_0	shape	round
coaxial_line_0	shape	threadiness
coaxial_line_0	attribute	cable
coaxial_line_0	shape	slender
coaxial_line_1	accuracy	fine
coaxial_line_1	instanceOf	part
coaxial_line_1	type	connector
coaxial_line_1	attribute	soft
coaxial_line_1	attribute	slender
coaxial_line_1	shape	round
coaxial_line_1	shape	threadiness
coaxial_line_1	attribute	cable
coaxial_line_1	shape	slender
coaxial_line_2	accuracy	fine
coaxial_line_2	instanceOf	part
coaxial_line_2	type	connector
coaxial_line_2	attribute	soft
coaxial_line_2	attribute	slender
coaxial_line_2	shape	round
coaxial_line_2	shape	threadiness
coaxial_line_2	attribute	cable
coaxial_line_2	shape	slender
coaxial_line_3	accuracy	fine
coaxial_line_3	instanceOf	part
coaxial_line_3	type	connector
coaxial_line_3	attribute	soft
coaxial_line_3	attribute	slender
coaxial_line_3	shape	round
coaxial_line_3	shape	threadiness
coaxial_line_3	attribute	cable
coaxial_line_3	shape	slender
coaxial_line_4	accuracy	fine
coaxial_line_4	instanceOf	part
coaxial_line_4	type	connector
coaxial_line_4	attribute	soft
coaxial_line_4	attribute	slender
coaxial_line_4	shape	round
coaxial_line_4	shape	threadiness
coaxial_line_4	attribute	cable
coaxial_line_4	shape	slender
coaxial_line_5	accuracy	fine
coaxial_line_5	instanceOf	part
coaxial_line_5	type	connector
coaxial_line_5	attribute	soft
coaxial_line_5	attribute	slender
coaxial_line_5	shape	round
coaxial_line_5	shape	threadiness
coaxial_line_5	attribute	cable
coaxial_line_5	shape	slender
coaxial_line_6	accuracy	fine
coaxial_line_6	instanceOf	part
coaxial_line_6	type	connector
coaxial_line_6	attribute	soft
coaxial_line_6	attribute	slender
coaxial_line_6	shape	round
coaxial_line_6	shape	threadiness
coaxial_line_6	attribute	cable
coaxial_line_6	shape	slender
coaxial_line_7	accuracy	fine
coaxial_line_7	instanceOf	part
coaxial_line_7	type	connector
coaxial_line_7	attribute	soft
coaxial_line_7	attribute	slender
coaxial_line_7	shape	round
coaxial_line_7	shape	threadiness
coaxial_line_7	attribute	cable
coaxial_line_7	shape	slender
coaxial_line_8	accuracy	fine
coaxial_line_8	instanceOf	part
coaxial_line_8	type	connector
coaxial_line_8	attribute	soft
coaxial_line_8	attribute	slender
coaxial_line_8	shape	round
coaxial_line_8	shape	threadiness
coaxial_line_8	attribute	cable
coaxial_line_8	shape	slender
coaxial_line_9	accuracy	fine
coaxial_line_9	instanceOf	part
coaxial_line_9	type	connector
coaxial_line_9	attribute	soft
coaxial_line_9	attribute	slender
coaxial_line_9	shape	round
coaxial_line_9	shape	threadiness
coaxial_line_9	attribute	cable
coaxial_line_9	shape	slender
aviation_plug_0	function	plug
aviation_plug_0	accuracy	fine
aviation_plug_0	instanceOf	part
aviation_plug_0	type	connector
aviation_plug_0	attribute	rigid
aviation_plug_0	shape	round
aviation_plug_0	shape	cylinder
aviation_plug_0	parameter	WAC3FCA
aviation_plug_1	function	plug
aviation_plug_1	accuracy	fine
aviation_plug_1	instanceOf	part
aviation_plug_1	type	connector
aviation_plug_1	attribute	rigid
aviation_plug_1	shape	round
aviation_plug_1	shape	cylinder
aviation_plug_1	parameter	WAC3FCA
aviation_plug_2	function	plug
aviation_plug_2	accuracy	fine
aviation_plug_2	instanceOf	part
aviation_plug_2	type	connector
aviation_plug_2	attribute	rigid
aviation_plug_2	shape	round
aviation_plug_2	shape	cylinder
aviation_plug_2	parameter	WAC3FCA
aviation_plug_3	function	plug
aviation_plug_3	accuracy	fine
aviation_plug_3	instanceOf	part
aviation_plug_3	type	connector
aviation_plug_3	attribute	rigid
aviation_plug_3	shape	round
aviation_plug_3	shape	cylinder
aviation_plug_3	parameter	WAC3FCA
aviation_plug_4	function	plug
aviation_plug_4	accuracy	fine
aviation_plug_4	instanceOf	part
aviation_plug_4	type	connector
aviation_plug_4	attribute	rigid
aviation_plug_4	shape	round
aviation_plug_4	shape	cylinder
aviation_plug_4	parameter	WAC3FCA
aviation_plug_5	function	plug
aviation_plug_5	accuracy	fine
aviation_plug_5	instanceOf	part
aviation_plug_5	type	connector
aviation_plug_5	attribute	rigid
aviation_plug_5	shape	round
aviation_plug_5	shape	cylinder
aviation_plug_5	parameter	WAC3FCA
aviation_plug_6	function	plug
aviation_plug_6	accuracy	fine
aviation_plug_6	instanceOf	part
aviation_plug_6	type	connector
aviation_plug_6	attribute	rigid
aviation_plug_6	shape	round
aviation_plug_6	shape	cylinder
aviation_plug_6	parameter	WAC3FCA
aviation_plug_7	function	plug
aviation_plug_7	accuracy	fine
aviation_plug_7	instanceOf	part
aviation_plug_7	type	connector
aviation_plug_7	attribute	rigid
aviation_plug_7	shape	round
aviation_plug_7	shape	cylinder
aviation_plug_7	parameter	WAC3FCA
aviation_plug_8	function	plug
aviation_plug_8	accuracy	fine
aviation_plug_8	instanceOf	part
aviation_plug_8	type	connector
aviation_plug_8	attribute	rigid
aviation_plug_8	shape	round
aviation_plug_8	shape	cylinder
aviation_plug_8	parameter	WAC3FCA
aviation_plug_9	function	plug
aviation_plug_9	accuracy	fine
aviation_plug_9	instanceOf	part
aviation_plug_9	type	connector
aviation_plug_9	attribute	rigid
aviation_plug_9	shape	round
aviation_plug_9	shape	cylinder
aviation_plug_9	parameter	WAC3FCA
aviation_plug_10	function	plug
aviation_plug_10	accuracy	fine
aviation_plug_10	instanceOf	part
aviation_plug_10	type	connector
aviation_plug_10	attribute	rigid
aviation_plug_10	shape	round
aviation_plug_10	shape	cylinder
